	subject	mask_name	condition	score	chance_score
366	22	lofc	current_age	0.46875	0.5
367	22	lofc	current_category	0.53125	0.5
368	22	hp	pre_age	0.453125	0.5
369	22	hp	pre_category	0.609375	0.5
370	22	hp	current_age	0.46875	0.5
371	22	hp	current_category	0.484375	0.5
372	22	dlPFC	pre_age	0.59375	0.5
373	22	dlPFC	pre_category	0.640625	0.5
374	22	dlPFC	current_age	0.484375	0.5
375	22	dlPFC	current_category	0.578125	0.5
376	22	FFA/PPA	pre_age	0.453125	0.5
377	22	FFA/PPA	pre_category	0.65625	0.5
378	22	FFA/PPA	current_age	0.53125	0.5
379	22	FFA/PPA	current_category	0.875	0.5
380	23	mofc	pre_age	0.53125	0.5
381	23	mofc	pre_category	0.65625	0.5
382	23	mofc	current_age	0.453125	0.5
383	23	mofc	current_category	0.65625	0.5
384	23	lofc	pre_age	0.484375	0.5
385	23	lofc	pre_category	0.515625	0.5
386	23	lofc	current_age	0.484375	0.5
387	23	lofc	current_category	0.515625	0.5
388	23	hp	pre_age	0.40625	0.5
389	23	hp	pre_category	0.515625	0.5
390	23	hp	current_age	0.6875	0.5
391	23	hp	current_category	0.53125	0.5
392	23	dlPFC	pre_age	0.515625	0.5
393	23	dlPFC	pre_category	0.484375	0.5
394	23	dlPFC	current_age	0.53125	0.5
395	23	dlPFC	current_category	0.703125	0.5
396	23	FFA/PPA	pre_age	0.5	0.5
397	23	FFA/PPA	pre_category	0.625	0.5
398	23	FFA/PPA	current_age	0.65625	0.5
399	23	FFA/PPA	current_category	0.84375	0.5
400	24	mofc	pre_age	0.546875	0.5
401	24	mofc	pre_category	0.5625	0.5
402	24	mofc	current_age	0.546875	0.5
403	24	mofc	current_category	0.5625	0.5
404	24	lofc	pre_age	0.5	0.5
405	24	lofc	pre_category	0.5625	0.5
406	24	lofc	current_age	0.609375	0.5
407	24	lofc	current_category	0.59375	0.5
408	24	hp	pre_age	0.546875	0.5
409	24	hp	pre_category	0.5	0.5
410	24	hp	current_age	0.578125	0.5
411	24	hp	current_category	0.515625	0.5
412	24	dlPFC	pre_age	0.6875	0.5
413	24	dlPFC	pre_category	0.53125	0.5
414	24	dlPFC	current_age	0.515625	0.5
415	24	dlPFC	current_category	0.609375	0.5
416	24	FFA/PPA	pre_age	0.5625	0.5
417	24	FFA/PPA	pre_category	0.71875	0.5
418	24	FFA/PPA	current_age	0.671875	0.5
419	24	FFA/PPA	current_category	0.796875	0.5
420	25	mofc	pre_age	0.53125	0.5
421	25	mofc	pre_category	0.40625	0.5
422	25	mofc	current_age	0.65625	0.5
423	25	mofc	current_category	0.53125	0.5
424	25	lofc	pre_age	0.5625	0.5
425	25	lofc	pre_category	0.453125	0.5
426	25	lofc	current_age	0.546875	0.5
427	25	lofc	current_category	0.53125	0.5
428	25	hp	pre_age	0.515625	0.5
429	25	hp	pre_category	0.421875	0.5
430	25	hp	current_age	0.609375	0.5
431	25	hp	current_category	0.578125	0.5
432	25	dlPFC	pre_age	0.515625	0.5
433	25	dlPFC	pre_category	0.40625	0.5
434	25	dlPFC	current_age	0.515625	0.5
435	25	dlPFC	current_category	0.59375	0.5
436	25	FFA/PPA	pre_age	0.625	0.5
437	25	FFA/PPA	pre_category	0.609375	0.5
438	25	FFA/PPA	current_age	0.65625	0.5
439	25	FFA/PPA	current_category	0.984375	0.5
440	26	mofc	pre_age	0.453125	0.5
441	26	mofc	pre_category	0.578125	0.5
442	26	mofc	current_age	0.5625	0.5
443	26	mofc	current_category	0.6875	0.5
444	26	lofc	pre_age	0.40625	0.5
445	26	lofc	pre_category	0.640625	0.5
446	26	lofc	current_age	0.53125	0.5
447	26	lofc	current_category	0.59375	0.5
448	26	hp	pre_age	0.65625	0.5
449	26	hp	pre_category	0.53125	0.5
450	26	hp	current_age	0.5	0.5
451	26	hp	current_category	0.390625	0.5
452	26	dlPFC	pre_age	0.46875	0.5
453	26	dlPFC	pre_category	0.46875	0.5
454	26	dlPFC	current_age	0.5625	0.5
455	26	dlPFC	current_category	0.75	0.5
456	26	FFA/PPA	pre_age	0.5	0.5
457	26	FFA/PPA	pre_category	0.578125	0.5
458	26	FFA/PPA	current_age	0.515625	0.5
459	26	FFA/PPA	current_category	0.84375	0.5
460	27	mofc	pre_age	0.5	0.5
461	27	mofc	pre_category	0.4375	0.5
462	27	mofc	current_age	0.546875	0.5
463	27	mofc	current_category	0.5	0.5
464	27	lofc	pre_age	0.359375	0.5
465	27	lofc	pre_category	0.515625	0.5
466	27	lofc	current_age	0.578125	0.5
467	27	lofc	current_category	0.671875	0.5
468	27	hp	pre_age	0.46875	0.5
469	27	hp	pre_category	0.515625	0.5
470	27	hp	current_age	0.5	0.5
471	27	hp	current_category	0.5625	0.5
472	27	dlPFC	pre_age	0.46875	0.5
473	27	dlPFC	pre_category	0.5	0.5
474	27	dlPFC	current_age	0.640625	0.5
475	27	dlPFC	current_category	0.609375	0.5
476	27	FFA/PPA	pre_age	0.5	0.5
477	27	FFA/PPA	pre_category	0.5625	0.5
478	27	FFA/PPA	current_age	0.59375	0.5
479	27	FFA/PPA	current_category	0.78125	0.5
480	28	mofc	pre_age	0.578125	0.5
481	28	mofc	pre_category	0.546875	0.5
482	28	mofc	current_age	0.46875	0.5
483	28	mofc	current_category	0.53125	0.5
484	28	lofc	pre_age	0.359375	0.5
485	28	lofc	pre_category	0.5625	0.5
486	28	lofc	current_age	0.484375	0.5
487	28	lofc	current_category	0.453125	0.5
488	28	hp	pre_age	0.53125	0.5
489	28	hp	pre_category	0.46875	0.5
490	28	hp	current_age	0.546875	0.5
491	28	hp	current_category	0.53125	0.5
492	28	dlPFC	pre_age	0.46875	0.5
493	28	dlPFC	pre_category	0.578125	0.5
494	28	dlPFC	current_age	0.5	0.5
495	28	dlPFC	current_category	0.5	0.5
496	28	FFA/PPA	pre_age	0.40625	0.5
497	28	FFA/PPA	pre_category	0.515625	0.5
498	28	FFA/PPA	current_age	0.609375	0.5
499	28	FFA/PPA	current_category	0.78125	0.5
500	29	mofc	pre_age	0.515625	0.5
501	29	mofc	pre_category	0.59375	0.5
502	29	mofc	current_age	0.5	0.5
503	29	mofc	current_category	0.5625	0.5
504	29	lofc	pre_age	0.328125	0.5
505	29	lofc	pre_category	0.71875	0.5
506	29	lofc	current_age	0.53125	0.5
507	29	lofc	current_category	0.625	0.5
508	29	hp	pre_age	0.515625	0.5
509	29	hp	pre_category	0.484375	0.5
510	29	hp	current_age	0.625	0.5
511	29	hp	current_category	0.578125	0.5
512	29	dlPFC	pre_age	0.40625	0.5
513	29	dlPFC	pre_category	0.59375	0.5
514	29	dlPFC	current_age	0.515625	0.5
515	29	dlPFC	current_category	0.703125	0.5
516	29	FFA/PPA	pre_age	0.484375	0.5
517	29	FFA/PPA	pre_category	0.734375	0.5
518	29	FFA/PPA	current_age	0.625	0.5
519	29	FFA/PPA	current_category	0.875	0.5
520	30	mofc	pre_age	0.484375	0.5
521	30	mofc	pre_category	0.53125	0.5
522	30	mofc	current_age	0.421875	0.5
523	30	mofc	current_category	0.484375	0.5
524	30	lofc	pre_age	0.453125	0.5
525	30	lofc	pre_category	0.515625	0.5
526	30	lofc	current_age	0.359375	0.5
527	30	lofc	current_category	0.671875	0.5
528	30	hp	pre_age	0.5625	0.5
529	30	hp	pre_category	0.53125	0.5
530	30	hp	current_age	0.171875	0.5
531	30	hp	current_category	0.59375	0.5
532	30	dlPFC	pre_age	0.421875	0.5
533	30	dlPFC	pre_category	0.515625	0.5
534	30	dlPFC	current_age	0.515625	0.5
535	30	dlPFC	current_category	0.53125	0.5
536	30	FFA/PPA	pre_age	0.515625	0.5
537	30	FFA/PPA	pre_category	0.609375	0.5
538	30	FFA/PPA	current_age	0.5625	0.5
539	30	FFA/PPA	current_category	0.78125	0.5
